section,arm,metric,clause_type,condition,k,labeling,value,n,extra
ct10,haiku,total_score_mae,,"mode=whole_exam,with_key=True",,,8.32,100,
ct10,openjev,total_score_mae,,"mode=chained,with_key=False",,,7.09,100,
ct10,openjev,total_score_mae,,"mode=chained,with_key=True",,,6.52,100,
ct10,openjev,total_score_mae,,"mode=whole_exam,with_key=False",,,9.76,100,
ct10,openjev,total_score_mae,,"mode=whole_exam,with_key=True",,,10.79,100,
ct10,jev,confidence_at_errors,,chained,,,0.7538382804503583,977,
ct10,jev,confidence_at_correct,,chained,,,0.9152498506868406,5023,
ct10,haiku,confidence_at_errors,,chained,,,0.8866484716157205,916,
ct10,haiku,confidence_at_correct,,chained,,,0.9017250196695515,5084,
ct10,openjev,confidence_at_errors,,chained,,,0.7663369743423615,1437,
ct10,openjev,confidence_at_correct,,chained,,,0.8725686011775703,4563,
ct10,jev,avg_latency_ms,,,,,102.36730693141969,12000,
ct10,haiku,avg_latency_ms,,,,,402.38626251445385,12000,
ct10,openjev,avg_latency_ms,,,,,237.92734023730736,12000,
spend,corpus_generation,cost_usd,,,,,2.8561199999999998,77,model=claude-sonnet-5
spend,jev_arm,cost_usd,,,,,0.18093978000000052,5764,model=jev-latest
spend,haiku_arm,cost_usd,,,,,9.178637999999996,5774,model=claude-haiku-4-5
spend,qtree_corpus_generation,cost_usd,,,,,1.8114240000000004,55,model=claude-sonnet-5
spend,jev_arm_ct9,cost_usd,,,,,0.3192173880000006,3420,model=jev-latest
spend,haiku_arm_ct9,cost_usd,,,,,10.267232999999994,3420,model=claude-haiku-4-5
spend,openjev_arm,cost_usd,,,,,0.0,5760,model=openjev
spend,openjev_arm_ct9,cost_usd,,,,,0.0,3420,model=openjev
spend,examgrade_corpus_generation,cost_usd,,,,,6.924622,105,model=claude-sonnet-5
spend,jev_arm_ct10,cost_usd,,,,,0.2518645500000007,6203,model=jev-latest
spend,haiku_arm_ct10,cost_usd,,,,,10.22250700000003,6208,model=claude-haiku-4-5
spend,openjev_arm_ct10,cost_usd,,,,,0.0,6202,model=openjev
spend,TOTAL,anthropic_cumulative_usd,,,,,41.26054400000013,,
